"id","name","electoralAreaId","districtId","deleted","createdAt","updatedAt"
262,KWASI ATOM,39,29,0,2023-05-25 15:27:57.932,2023-05-25 15:27:57.932
263,MACARTHY HILL,40,29,0,2023-05-25 15:30:11.093,2023-05-25 15:30:11.093
264,MACARTHY,40,29,0,2023-05-25 15:30:11.093,2023-05-25 15:30:11.093
265,MACARTHY DOWN,41,29,0,2023-05-25 15:30:24.350,2023-05-25 15:30:24.350
266,WIABOMAN,41,29,0,2023-05-25 15:30:24.350,2023-05-25 15:30:24.350
267,MEDSKROM,41,29,0,2023-05-25 15:30:24.350,2023-05-25 15:30:24.350
268,ONYINASE,42,29,0,2023-05-25 15:30:38.071,2023-05-25 15:30:38.071
269,CP,42,29,0,2023-05-25 15:30:38.071,2023-05-25 15:30:38.071
270,GRAVEL JUNCTION,42,29,0,2023-05-25 15:30:38.071,2023-05-25 15:30:38.071
271,OLD BARRIER,43,29,0,2023-05-25 15:30:51.791,2023-05-25 15:30:51.791
272,TA TOP,43,29,0,2023-05-25 15:30:51.791,2023-05-25 15:30:51.791
273,SUNNY COAST,43,29,0,2023-05-25 15:30:51.791,2023-05-25 15:30:51.791
274,CHOICE,43,29,0,2023-05-25 15:30:51.791,2023-05-25 15:30:51.791
275,AYIGBE-TOWN,44,29,0,2023-05-25 15:31:09.252,2023-05-25 15:31:09.252
276,BORTIANOR,44,29,0,2023-05-25 15:31:09.252,2023-05-25 15:31:09.252
277,SCC,44,29,0,2023-05-25 15:31:09.252,2023-05-25 15:31:09.252
278,ASH BREAD,44,29,0,2023-05-25 15:31:09.252,2023-05-25 15:31:09.252
279,BLOCK FACTORY,44,29,0,2023-05-25 15:31:09.252,2023-05-25 15:31:09.252
280,OBLOGO,45,29,0,2023-05-25 15:31:18.717,2023-05-25 15:31:18.717
281,MANCHETER,45,29,0,2023-05-25 15:31:18.717,2023-05-25 15:31:18.717
282,SAMPA,45,29,0,2023-05-25 15:31:18.717,2023-05-25 15:31:18.717
283,NEW OBLOGO,45,29,0,2023-05-25 15:31:18.717,2023-05-25 15:31:18.717
284,TETEGU,46,29,0,2023-05-25 15:31:28.039,2023-05-25 15:31:28.039
285,AWIAWIA,46,29,0,2023-05-25 15:31:28.039,2023-05-25 15:31:28.039
286,OLD TETTEGU,46,29,0,2023-05-25 15:31:28.039,2023-05-25 15:31:28.039
287,WEIJA UPPER WEIJA,47,29,0,2023-05-25 15:31:37.413,2023-05-25 15:31:37.413
288,WEIJA AWAY,47,29,0,2023-05-25 15:31:37.413,2023-05-25 15:31:37.413
289,ZONGO,47,29,0,2023-05-25 15:31:37.413,2023-05-25 15:31:37.413
290,NEWTOWN,47,29,0,2023-05-25 15:31:37.413,2023-05-25 15:31:37.413
291,UPPER WEIJA,47,29,0,2023-05-25 15:31:37.413,2023-05-25 15:31:37.413
371,METHODIST,72,2,0,2023-05-25 15:44:47.324,2023-05-25 15:44:47.324
372,QUARTERS,72,2,0,2023-05-25 15:44:47.324,2023-05-25 15:44:47.324
373,ASA NURUDEEN,72,2,0,2023-05-25 15:44:47.324,2023-05-25 15:44:47.324
374,PENTECOST,72,2,0,2023-05-25 15:44:47.324,2023-05-25 15:44:47.324
375,AFROPA,72,2,0,2023-05-25 15:44:47.324,2023-05-25 15:44:47.324
376,DARKUMAN POLICE STATION,72,2,0,2023-05-25 15:44:47.324,2023-05-25 15:44:47.324
377,ENIGYEKROM,72,2,0,2023-05-25 15:44:47.324,2023-05-25 15:44:47.324
378,ABAASE,72,2,0,2023-05-25 15:44:47.324,2023-05-25 15:44:47.324
389,GREAT GARDENS,74,2,0,2023-05-25 15:45:08.532,2023-05-25 15:45:08.532
390,SCHOOL  PARK,74,2,0,2023-05-25 15:45:08.532,2023-05-25 15:45:08.532
