name,districtId,createdAt,updatedAt
Roman,4,11/26/2022 13:16,11/26/2022 13:16
Odorna,4,11/26/2022 13:16,11/26/2022 13:16
New Quaters,4,11/26/2022 13:16,11/26/2022 13:16
Asylum Down,4,11/26/2022 13:16,11/26/2022 13:16
OSU,4,11/26/2022 13:16,11/26/2022 13:16
Adabraka official town,4,11/26/2022 13:16,11/26/2022 13:16
Adedenkpo,4,11/26/2022 13:16,11/26/2022 13:16
NEW RUSSIA,4,11/26/2022 13:16,11/26/2022 13:16
Adabraka,4,11/26/2022 13:16,11/26/2022 13:16
official street,4,11/26/2022 13:16,11/26/2022 13:16
Tudu,4,11/26/2022 13:16,11/26/2022 13:16
Asafoatse,4,11/26/2022 13:16,11/26/2022 13:16
No 1 Off Mango Lane,4,11/26/2022 13:16,11/26/2022 13:16
Galilee,4,11/26/2022 13:16,11/26/2022 13:16
Club Conner,4,11/26/2022 13:16,11/26/2022 13:16
club corner,4,11/26/2022 13:16,11/26/2022 13:16
Adedekpo,4,11/26/2022 13:16,11/26/2022 13:16
Labaro,4,11/26/2022 13:16,11/26/2022 13:16
Banana Inn,4,11/26/2022 13:16,11/26/2022 13:16
De-mod,4,11/26/2022 13:16,11/26/2022 13:16
Shukura,4,11/26/2022 13:16,11/26/2022 13:16
Attendant Oroko St,4,11/26/2022 13:16,11/26/2022 13:16
Adedeinkpo,4,11/26/2022 13:16,11/26/2022 13:16
Bubii,4,11/26/2022 13:16,11/26/2022 13:16
T junction,4,11/26/2022 13:16,11/26/2022 13:16
kotobi,4,11/26/2022 13:16,11/26/2022 13:16
kokomlemle,4,11/26/2022 13:16,11/26/2022 13:16
Star Oil Area,4,11/26/2022 13:16,11/26/2022 13:16
MATAHEKO Plazer,4,11/26/2022 13:16,11/26/2022 13:16
Shukura station,4,11/26/2022 13:16,11/26/2022 13:16
Girls School area,4,11/26/2022 13:16,11/26/2022 13:16
Children's hospital area,4,11/26/2022 13:16,11/26/2022 13:16
Korle Wonkor,4,11/26/2022 13:16,11/26/2022 13:16
NEW TOWN,4,11/26/2022 13:16,11/26/2022 13:16
A lomond Junction,4,11/26/2022 13:16,11/26/2022 13:16
Timber Market,4,11/26/2022 13:16,11/26/2022 13:16
palladum,4,11/26/2022 13:16,11/26/2022 13:16
Odawna,4,11/26/2022 13:16,11/26/2022 13:16
bishop,4,11/26/2022 13:16,11/26/2022 13:16
commercial bank area,4,11/26/2022 13:16,11/26/2022 13:16
commmercial bank area,4,11/26/2022 13:16,11/26/2022 13:16
North Industrial area,4,11/26/2022 13:16,11/26/2022 13:16
mojabiado,4,11/26/2022 13:16,11/26/2022 13:16
NIMA STATION,4,11/26/2022 13:16,11/26/2022 13:16
circle,4,11/26/2022 13:16,11/26/2022 13:16
Avenor,4,11/26/2022 13:16,11/26/2022 13:16
College Odonkor St,4,11/26/2022 13:16,11/26/2022 13:16
camara IBE,4,11/26/2022 13:16,11/26/2022 13:16
Camara I.B.E,4,11/26/2022 13:16,11/26/2022 13:16
Mamprobi sempe,4,11/26/2022 13:16,11/26/2022 13:16
KORLE-BU,4,11/26/2022 13:16,11/26/2022 13:16
Mamprobi police station,4,11/26/2022 13:16,11/26/2022 13:16
IBE,4,11/26/2022 13:16,11/26/2022 13:16
I BE,4,11/26/2022 13:16,11/26/2022 13:16
lBE,4,11/26/2022 13:16,11/26/2022 13:16
Circle railways,4,11/26/2022 13:16,11/26/2022 13:16
